sample_id,true_label,pseudotime_mean,pseudotime_std
LE-105-TF-106_N,Benign Nevus,0.0,0.0
1397_N,Benign Nevus,0.12142476625740528,0.04965923882446148
TCGA-EB-A299-01,Primary Tumor,0.22896553948521614,0.0599970478939327
TCGA-FR-A729-06,Metastasis,0.3006371073424816,0.0495498409045243
LE-117-RB-118_N,Benign Nevus,0.31418991833925247,0.03435578085891596
TCGA-EB-A3XD-01,Primary Tumor,0.3472902551293373,0.07368372864420868
TCGA-EE-A29N-06,Metastasis,0.36005188524723053,0.05286020631466237
TCGA-WE-A8ZR-06,Metastasis,0.3792916461825371,0.043800260071704115
TCGA-FS-A1ZA-06,Metastasis,0.395543597638607,0.0274212954983555
TCGA-EE-A20F-06,Metastasis,0.4217979162931442,0.019887657208584472
TCGA-EB-A551-01,Primary Tumor,0.4282485097646713,0.030108267453316594
TCGA-ER-A19H-06,Metastasis,0.4494667202234268,0.03457857711555166
TCGA-HR-A2OG-06,Metastasis,0.4537881389260292,0.033950770733596966
TCGA-EE-A2MS-06,Metastasis,0.4645995497703552,0.03306446552453753
TCGA-EE-A2GL-06,Metastasis,0.4890241250395775,0.051704471976974926
TCGA-EE-A2M7-06,Metastasis,0.4919968470931053,0.015044703601065957
TCGA-XV-A9VZ-01,Primary Tumor,0.509979136288166,0.042598917824127044
TCGA-D3-A51R-06,Metastasis,0.5103809610009193,0.04511905434538318
TCGA-ER-A19E-06,Metastasis,0.518931582570076,0.00562034712030856
TCGA-EB-A3HV-01,Primary Tumor,0.5232112035155296,0.05867599163612225
TCGA-ER-A2NG-06,Metastasis,0.5254974141716957,0.027031156165711143
TCGA-ER-A42L-06,Metastasis,0.5296272858977318,0.03182472422388274
TCGA-GF-A2C7-01,Primary Tumor,0.5299743339419365,0.027623572387650015
TCGA-D3-A8GQ-06,Metastasis,0.5308055579662323,0.009654408656135696
TCGA-EB-A5FP-01,Primary Tumor,0.540288120508194,0.03364190818135411
TCGA-D3-A2JN-06,Metastasis,0.5408002287149429,0.007292849014712002
TCGA-D3-A3CC-06,Metastasis,0.5440263897180557,0.009424127513521115
TCGA-3N-A9WC-06,Metastasis,0.5534674897789955,0.04019779908027515
TCGA-EB-A44P-01,Primary Tumor,0.5547379180788994,0.034256025378393895
TCGA-BF-A1Q0-01,Primary Tumor,0.5565145090222359,0.049033528537590014
TCGA-FS-A1Z0-06,Metastasis,0.5571378543972969,0.04037799481339865
TCGA-ER-A19N-06,Metastasis,0.5676053017377853,0.02194951490683497
TCGA-WE-AA9Y-06,Metastasis,0.5699345767498016,0.03332697275303999
TCGA-D9-A3Z4-01,Primary Tumor,0.579088032245636,0.03339976534358921
TCGA-ER-A196-01,Primary Tumor,0.5856022387742996,0.08585614607779561
TCGA-ER-A197-06,Metastasis,0.5909392088651657,0.02132832784535894
TCGA-EE-A2M5-06,Metastasis,0.6018739491701126,0.026278793286044492
TCGA-DA-A1I2-06,Metastasis,0.6102709025144577,0.04600297725577257
TCGA-FS-A1ZC-06,Metastasis,0.6126787513494492,0.03990075463555263
TCGA-BF-A3DM-01,Primary Tumor,0.6135037690401077,0.02639631875960411
TCGA-FS-A1ZF-06,Metastasis,0.6349692940711975,0.012320145565730934
TCGA-FS-A1YW-06,Metastasis,0.6421379894018173,0.03935893598130277
TCGA-ER-A2NC-06,Metastasis,0.6437423229217529,0.020335356379924986
TCGA-D9-A148-06,Metastasis,0.6462886780500412,0.03814026580166112
TCGA-ER-A42K-06,Metastasis,0.6477380096912384,0.009896208257589122
TCGA-WE-A8ZO-06,Metastasis,0.6679466068744659,0.026473616814767613
TCGA-D3-A51G-06,Metastasis,0.6802498549222946,0.01041483728070026
TCGA-EB-A5SG-06,Metastasis,0.6921612024307251,0.022946935178991084
TCGA-BF-AAOX-01,Primary Tumor,0.7036879360675812,0.015983223013903067
TCGA-EE-A2MT-06,Metastasis,0.7045193463563919,0.030555337980028324
TCGA-DA-A3F5-06,Metastasis,0.7072290033102036,0.011314718773396982
TCGA-D9-A6EA-06,Metastasis,0.7527996599674225,0.013623093400758993
TCGA-GN-A264-06,Metastasis,0.754267156124115,0.027446348359828305
TCGA-FW-A3R5-06,Metastasis,0.7720763832330704,0.04342683139838279
TCGA-EE-A29X-06,Metastasis,0.7746941298246384,0.04463559086046047
